ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
456,Scintillating Pattern,Illusion,Pattern,mind-affecting,sorcerer/wizard 8,1 standard action,"V, S, M (a crystal prism)",0,Close (25 ft. + 5 ft./2 levels),NULL,Colorful lights in a 20-ft.-radius spread,NULL,Concentration + 2 rounds,0,0,None,Yes,"A twisting pattern of coruscating colors weaves through the air, affecting creatures within. The spell affects a total number of HD of creatures equal to your caster level (maximum 20).  Creatures with the fewest HD are affected first, and among creatures","<p>A twisting pattern of coruscating colors weaves through the air, affecting creatures within. The spell affects a total number of HD of creatures equal to your caster level (maximum 20).</p><p>Creatures with the fewest HD are affected first, and among c",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Scintillating Pattern</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (pattern) [mind-affecting]; <b>Level </b>sorcerer/wizard 8</h5></div><hr/><div><h5,1,1,1,0,0,8,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,madness,"Twisting colors confuse, stun, or render unconscious.",120,128,NULL,NULL,120,NULL,3000,6000,90000,http://www.d20pfsrd.com/magic/all-spells/s/scintillating-pattern
457,Scorching Ray,Evocation,NULL,fire,"sorcerer/wizard 2, magus 2",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,One or more rays,NULL,Instantaneous,0,0,None,Yes,"You blast your enemies with a searing beam of fire. You may fire one ray, plus one additional ray for every four levels beyond 3rd (to a maximum of three rays at 11th level). Each ray requires a ranged touch attack to hit and deals 4d6 points of fire dama","<p>You blast your enemies with a searing beam of fire. You may fire one ray, plus one additional ray for every four levels beyond 3rd (to a maximum of three rays at 11th level). Each ray requires a ranged touch attack to hit and deals 4d6 points of fire d",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Scorching Ray</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [fire]; <b>Level </b>sorcerer/wizard 2, magus 2</h5></div><hr/><div><h5><b>CASTING</b></h",1,1,0,0,0,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,"Ranged touch attack deals 4d6 fire damage, + 1 ray/four levels (max 3).",6,8,6,NULL,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/s/scorching-ray
458,Screen,Illusion,Glamer,NULL,sorcerer/wizard 8,10 minutes,"V, S",0,Close (25 ft. + 5 ft./2 levels),30-ft. cube/level,NULL,NULL,24 hours,0,1,None or Will disbelief (if interacted with); see text,No,"This spell creates a powerful protection from scrying and observation. When casting the spell, you dictate what will and will not be observed in the spell's area. The illusion created must be stated in general terms. Once the conditions are set, they cann","<p>This spell creates a powerful protection from scrying and observation. When casting the spell, you dictate what will and will not be observed in the spell's area. The illusion created must be stated in general terms. Once the conditions are set, they c",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Screen</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (glamer); <b>Level </b>sorcerer/wizard 8</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><d,1,1,0,0,0,8,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,trickery,Illusion hides area from vision and scrying.,120,128,NULL,NULL,120,NULL,3000,6000,90000,http://www.d20pfsrd.com/magic/all-spells/s/screen
459,Scrying,Divination,Scrying,NULL,"bard 3, cleric 5, druid 4, sorcerer/wizard 4, witch 4",1 hour,"V, S, M/DF (a pool of water), F (a silver mirror worth 1,000 gp)",1,See text,NULL,Magical sensor,NULL,1 min./level,0,0,Will negates,Yes,"You can observe a creature at any distance. If the subject succeeds on a Will save, the spell fails. The difficulty of the save depends on how well your knowledge of the subject and what sort of physical connection (if any) you have to that creature. Furt","<p>You can observe a creature at any distance. If the subject succeeds on a Will save, the spell fails. The difficulty of the save depends on how well your knowledge of the subject and what sort of physical connection (if any) you have to that creature.</",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Scrying</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination (scrying); <b>Level </b>bard 3, cleric 5, druid 4, sorcerer/wizard 4, witch 4</h5></div><hr/><",1,1,1,0,1,4,4,5,4,NULL,3,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,4,NULL,Spies on subject from a distance.,28,32,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/s/scrying
460,"Scrying, Greater",Divination,Scrying,NULL,"bard 6, cleric 7, druid 7, sorcerer/wizard 7, witch 7",1 standard action,"V, S",0,See text,NULL,Magical sensor,NULL,1 hour/level,0,0,Will negates,Yes,"This spell functions like scrying, except as noted above. Additionally, all of the following spells function reliably through the sensor: detect chaos, detect evil, detect good, detect law, detect magic, message, read magic, and tongues.","<p>This spell functions like <i>scrying,</i> except as noted above.</p><p>Additionally, all of the following spells function reliably through the sensor: <i>detect chaos</i>, <i>detect evil</i>, <i>detect good</i>, <i>detect law</i>, <i>detect magic</i>, ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Scrying, Greater</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination (scrying); <b>Level </b>bard 6, cleric 7, druid 7, sorcerer/wizard 7, witch 7</h5></d",1,1,0,0,0,7,7,7,7,NULL,6,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,7,NULL,"As scrying, but faster and longer.",91,98,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/s/scrying
461,Sculpt Sound,Transmutation,NULL,NULL,bard 3,1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"One creature or object/level, no two of which can be more than 30 ft. apart",1 hour/level,1,0,Will negates (object),Yes (object),"You can change the sounds that creatures or objects make. You can create sounds where none exist, deaden sounds, or transform sounds into other sounds. All affected creatures or objects must be transmuted in the same way. Once the transmutation is made, y","<p>You can change the sounds that creatures or objects make. You can create sounds where none exist, deaden sounds, or transform sounds into other sounds. All affected creatures or objects must be transmuted in the same way. Once the transmutation is made",PFRPG Core,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Sculpt Sound</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>bard 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,Creates new sounds or changes existing ones into new sounds.,NULL,NULL,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/s/sculpt-sound
462,Searing Light,Evocation,NULL,NULL,"cleric 3, inquisitor 3",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,Ray,NULL,Instantaneous,0,0,None,Yes,"Focusing divine power like a ray of the sun, you project a blast of light from your open palm. You must succeed on a ranged touch attack to strike your target. A creature struck by this ray of light takes 1d8 points of damage per two caster levels (maximu","<p>Focusing divine power like a ray of the sun, you project a blast of light from your open palm. You must succeed on a ranged touch attack to strike your target. A creature struck by this ray of light takes 1d8 points of damage per two caster levels (max",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Searing Light</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation; <b>Level </b>cleric 3, inquisitor 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr",1,1,0,0,0,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,3,"glory, sun",Ray deals 1d8/two levels damage (more against undead).,15,NULL,NULL,21,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/s/searing-light
463,Secret Chest,Conjuration,Summoning,NULL,"sorcerer/wizard 5, witch 5",10 minutes,"V, S, F (the chest and its replica)",0,See text,NULL,NULL,One chest and up to 1 cu. ft. of goods/caster level,60 days or until discharged,0,0,None,No,"You hide a chest on the Ethereal Plane for as long as 60 days and can retrieve it at will. The chest can contain up to 1 cubic foot of material per caster level (regardless of the chest's actual size, which is about 3 feet by 2 feet by 2 feet). If any liv","<p>You hide a chest on the Ethereal Plane for as long as 60 days and can retrieve it at will. The chest can contain up to 1 cubic foot of material per caster level (regardless of the chest's actual size, which is about 3 feet by 2 feet by 2 feet). If any ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Secret Chest</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (summoning); <b>Level </b>sorcerer/wizard 5, witch 5</h5></div><hr/><div><h5><b>CASTING<",1,1,0,1,0,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,5,NULL,Hides expensive chest on Ethereal Plane; you retrieve it at will.,45,50,NULL,NULL,45,NULL,1125,2250,33750,http://www.d20pfsrd.com/magic/all-spells/s/secret-chest
464,Secret Page,Transmutation,NULL,NULL,"bard 3, sorcerer/wizard 3",10 minutes,"V, S, M (powdered herring scales and a vial of will-o'-wisp essence)",0,Touch,NULL,NULL,"Page touched, up to 3 sq. ft. in size",Permanent,0,0,None,No,Secret page alters the contents of a page so that it appears to be something entirely different. The text of a spell can be changed to show another spell of equal or lower level known by the caster. This spell cannot be used to change a spell contained on,<p><i>Secret page</i> alters the contents of a <i>page</i> so that it appears to be something entirely different. The text of a spell can be changed to show another spell of equal or lower level known by the caster.</p><p>This spell cannot be used to chan,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Secret Page</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation; <b>Level </b>bard 3, sorcerer/wizard 3, witch 3, alchemist 2, witch 2, inquisitor 2, w",1,1,1,0,0,3,3,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,rune,Changes one page to hide its real content.,15,18,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/s/secret-page
465,Secure Shelter,Conjuration,Creation,NULL,"bard 4, sorcerer/wizard 4, witch 4",10 minutes,"V, S, M (a chip of stone, sand, a drop of water, and a wood splinter)",0,Close (25 ft. + 5 ft./2 levels),NULL,20-ft.-square structure,NULL,2 hours/level,1,0,None,No,"You conjure a sturdy cottage or lodge made of material that is common in the area where the spell is cast. The floor is level, clean, and dry. The lodging resembles a normal cottage, with a sturdy door, two shuttered windows, and a small fireplace.  The s","<p>You conjure a sturdy cottage or lodge made of material that is common in the area where the spell is cast. The floor is level, clean, and dry. The lodging resembles a normal cottage, with a sturdy door, two shuttered windows, and a small fireplace.</p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Secure Shelter</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (creation); <b>Level </b>bard 4, sorcerer/wizard 4, witch 4</h5></div><hr/><div><h5><b",1,1,1,0,0,4,4,NULL,NULL,NULL,4,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,4,NULL,Creates sturdy cottage.,28,32,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/s/secure-shelter
466,See Invisibility,Divination,NULL,NULL,"bard 3, sorcerer/wizard 2, alchemist 2, summoner 2, witch 2, inquisitor 2",1 standard action,"V, S, M (talc and powdered silver)",0,Personal,NULL,NULL,You,10 min./level,1,0,None,No,"You can see any objects or beings that are invisible within your range of vision, as well as any that are ethereal, as if they were normally visible. Such creatures are visible to you as translucent shapes, allowing you easily to discern the difference be","<p>You can see any objects or beings that are invisible within your range of vision, as well as any that are ethereal, as if they were normally visible. Such creatures are visible to you as translucent shapes, allowing you easily to discern the difference",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>See Invisibility</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>bard 3, sorcerer/wizard 2, alchemist 2, summoner 2, witch 2, inquisitor",1,1,1,0,0,2,2,NULL,NULL,NULL,3,NULL,2,2,2,2,NULL,NULL,NULL,NULL,2,NULL,Reveals invisible creatures or objects.,6,8,6,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/s/see-invisibility
467,Seeming,Illusion,Glamer,NULL,"bard 5, sorcerer/wizard 5",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,"One creature per two levels, no two of which can be more than 30 ft. apart",12 hours,1,0,Will negates or Will disbelief (if interacted with),Yes or no; see text,"This spell functions like disguise self, except that you can change the appearance of other people as well. Affected creatures resume their normal appearances if slain. Unwilling targets can negate the spell's effect on them by making Will saves or with s","<p>This spell functions like <i>disguise self,</i> except that you can change the appearance of other people as well. Affected creatures resume their normal appearances if slain. Unwilling targets can negate the spell's effect on them by making Will saves",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Seeming</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (glamer); <b>Level </b>bard 5, sorcerer/wizard 5</h5></div><hr/><div><h5><b>CASTING</b></h5></di",1,1,0,0,0,5,5,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,Changes appearance of one person per two levels.,45,50,45,NULL,45,NULL,1125,2250,33750,http://www.d20pfsrd.com/magic/all-spells/s/seeming
468,Sending,Evocation,NULL,NULL,"cleric 4, sorcerer/wizard 5, alchemist 5, summoner 4, inquisitor 4",10 minutes,"V, S, M/DF (fine copper wire)",0,See text,NULL,NULL,One creature,1 round; see text,0,0,None,No,You contact a particular creature with which you are familiar and send a short message of 25 words or less to the subject. The subject recognizes you if it knows you. It can answer in like manner immediately. A creature with an Intelligence score as low a,<p>You contact a particular creature with which you are familiar and send a short message of 25 words or less to the subject. The subject recognizes you if it knows you. It can answer in like manner immediately. A creature with an Intelligence score as lo,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Sending</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation; <b>Level </b>cleric 4, sorcerer/wizard 5, alchemist 5, summoner 4, inquisitor 4, alchemist 5, ",1,1,1,0,1,5,5,4,NULL,NULL,NULL,NULL,5,4,NULL,4,NULL,NULL,NULL,NULL,5,NULL,"Delivers short message anywhere, instantly.",28,50,28,40,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/s/sending
